卡片ID	卡片名稱	卡片階級	卡片類型	怪物ID	怪物名稱	區域	序號	特效來源	技能名稱	特效鍵	特效中文	觸發代碼	觸發中文	觸發機率百分比	目標代碼	目標中文	持續模式	持續值	數值	數值意義	是否控制	中文說明
monster-card-4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客怪物卡	A	monster_card	4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客	hard		proc	強效生命偷取	life_steal_strong	強效生命偷取	on_hit	攻擊命中時	24	self	自身	turns	1	35	吸血百分比（造成傷害轉回血）	否	攻擊命中時有24%機率觸發強效吸血，造成傷害的35%轉為自身回復（持續1回合）。
monster-card-2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師怪物卡	A	monster_card	2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師	hard		proc	雷擊	lightning	雷擊	on_hit	攻擊命中時	26	enemy	敵方	turns	2	32	雷擊造成傷害百分比	否	攻擊命中時有26%機率降下雷擊，對敵方造成32%雷擊傷害（持續2回合）。
monster-card-69459022-2457-48e3-9804-d6f9be346a25	古城將軍(B)怪物卡	A	monster_card	69459022-2457-48e3-9804-d6f9be346a25	古城將軍(B)	hard		proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時	24	self	自身	turns	2	32	防禦力變化百分比	否	攻擊命中時有24%機率觸發，自身防禦力提升32%（持續2回合）。
monster-card-814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼怪物卡	A	monster_card	814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼	hard		proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時	24	self	自身	turns	2	32	防禦力變化百分比	否	攻擊命中時有24%機率觸發，自身防禦力提升32%（持續2回合）。
monster-card-53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士怪物卡	A	monster_card	53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士	hard		proc	燃燒	burn	燃燒	on_hit	攻擊命中時	28	enemy	敵方	turns	3	24	每回合扣除目標最大HP百分比	否	攻擊命中時有28%機率使敵方燃燒；燃燒期間每回合扣除最大HP 24%（持續3回合）。
monster-card-5c20d4ba-5f38-4d6b-a724-369eb632ff1d	城堡魔像(B)怪物卡	A	monster_card	5c20d4ba-5f38-4d6b-a724-369eb632ff1d	城堡魔像(B)	hard		proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時	24	self	自身	turns	2	32	防禦力變化百分比	否	攻擊命中時有24%機率觸發，自身防禦力提升32%（持續2回合）。
monster-card-5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵怪物卡	A	monster_card	5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵	hard		proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時	24	self	自身	turns	2	32	防禦力變化百分比	否	攻擊命中時有24%機率觸發，自身防禦力提升32%（持續2回合）。
monster-card-139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛怪物卡	A	monster_card	139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛	hard		proc	中毒	poison	中毒	on_hit	攻擊命中時	30	enemy	敵方	turns	3	22	每回合扣除目標最大HP百分比	否	攻擊命中時有30%機率使敵方中毒；中毒期間每回合扣除最大HP 22%（持續3回合）。
monster-card-9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司怪物卡	A	monster_card	9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司	hard		proc	雷擊	lightning	雷擊	on_hit	攻擊命中時	26	enemy	敵方	turns	2	32	雷擊造成傷害百分比	否	攻擊命中時有26%機率降下雷擊，對敵方造成32%雷擊傷害（持續2回合）。
monster-card-35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師怪物卡	A	monster_card	35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師	hard		proc	雷擊	lightning	雷擊	on_hit	攻擊命中時	26	enemy	敵方	turns	2	32	雷擊造成傷害百分比	否	攻擊命中時有26%機率降下雷擊，對敵方造成32%雷擊傷害（持續2回合）。
monster-card-0496ea5d-786e-4b07-ba65-30949c1afe31	廢都魔王(B)怪物卡	A	monster_card	0496ea5d-786e-4b07-ba65-30949c1afe31	廢都魔王(B)	hard		proc	暈眩	stun	暈眩	on_hit	攻擊命中時	22	enemy	敵方	turns	2	100	暈眩成功率百分比	是	攻擊命中時有22%機率使敵方暈眩（持續2回合，期間無法行動）。
monster-card-388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵怪物卡	A	monster_card	388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵	hard		proc	中毒	poison	中毒	on_hit	攻擊命中時	30	enemy	敵方	turns	3	22	每回合扣除目標最大HP百分比	否	攻擊命中時有30%機率使敵方中毒；中毒期間每回合扣除最大HP 22%（持續3回合）。
monster-card-8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將怪物卡	A	monster_card	8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將	hard		proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時	24	self	自身	turns	2	32	防禦力變化百分比	否	攻擊命中時有24%機率觸發，自身防禦力提升32%（持續2回合）。
monster-card-3065b7ca-8839-4be4-9d02-0821932cd408	小金(稀)怪物卡	B	monster_card	3065b7ca-8839-4be4-9d02-0821932cd408	小金(稀)	mid		proc	中毒	poison	中毒	on_hit	攻擊命中時	26	enemy	敵方	turns	3	14	每回合扣除目標最大HP百分比	否	攻擊命中時有26%機率使敵方中毒；中毒期間每回合扣除最大HP 14%（持續3回合）。
fang-wolf-card	牙牙狼卡	C	equipment	13f56b92-709e-42ff-87d2-e8f129ed9207	牙牙狼	mid		proc	流血	bleed	流血	on_hit	攻擊命中時		enemy	敵方	turns	3	10	每回合扣除目標最大HP百分比	否	敵方每回合流血扣除最大HP 10%，持續3回合
giant-card	巨巨卡	C	equipment	b9c226a8-ea33-41de-9c9b-be24824a9fb1	巨巨	mid		proc	擊暈	stun	暈眩	on_hit	攻擊命中時		enemy	敵方	turns	1	40	暈眩成功率百分比	是	敵方有40%機率被暈眩，持續1回合
crab-card	甲蟹卡	C	equipment	657afc88-c6db-4851-8c4c-50f225b18624	甲蟹	mid		proc	反擊	counter	反擊	on_hit	攻擊命中時		self	自身	turns	1	30	反擊傷害百分比	否	受擊後對自身反擊，造成30%傷害，持續1回合
mira-b-card	米拉桑(B)卡	C	equipment	517f9a27-f6f7-4251-8cf8-2140f02222c0	米拉桑(B)	mid		proc	魅惑	charm	魅惑	on_hit	攻擊命中時		enemy	敵方	turns	2	15	魅惑成功率百分比	是	敵方有15%機率被魅惑，持續2回合
forest-spirit-card	林地妖靈卡	B	equipment	343c18ce-9f87-4532-bbb4-618a64fe5559	林地妖靈(樹樹)	mid		proc	強生命偷取	life_steal_strong	強效生命偷取	on_hit	攻擊命中時		self	自身	turns	1	30	吸血百分比（造成傷害轉回血）	否	造成傷害的30%轉為自身回復，持續1回合
forest-beast-card	森林之獸卡	B	equipment	21fb614f-7f8b-4aad-b248-9418d8cbd8c0	森林之獸	mid		proc	遠古之力	ancient_power	遠古之力	on_hit	攻擊命中時		self	自身	turns	1	35	增傷百分比	否	自身造成傷害提高35%，持續1回合
forest-tree-card	森林古樹卡	B	equipment	9f0c5372-7232-4c6f-8083-409a28b1b374	森林古樹	mid		proc	冰凍	freeze	冰凍	on_hit	攻擊命中時		enemy	敵方	turns	2	-50	攻速變化百分比	是	敵方攻速-50%，持續2回合
forest-wizard-card	森林巫師卡	B	equipment	f6145411-1a2e-4919-9ee4-fe27b3a31c07	森林巫師	mid		proc	閃電	lightning	雷擊	on_hit	攻擊命中時		enemy	敵方	turns	2	20	雷擊造成傷害百分比	否	雷擊對敵方造成20%傷害，持續2回合
forest-rogue-card	森林盜賊卡	B	equipment	5247b1b0-6bc0-4db3-8ffd-aacb755c64fb	森林盜賊	mid		proc	暗咒	dark_curse	黑暗詛咒	on_hit	攻擊命中時		enemy	敵方	turns	3	-20	全屬性變化百分比	否	敵方全屬性-20%，持續3回合
dark-archer-card	黑暗弓手卡	C	equipment	f4bed595-74f8-493b-8551-9158f4b5381d	黑暗弓手	mid		proc	沉默	silence	沉默	on_hit	攻擊命中時		enemy	敵方	turns	2	100	沉默成功率百分比	是	敵方有100%機率被沉默，持續2回合
night-leopard-card	暗夜獵豹卡	B	equipment	eb0322bc-a90a-4a89-ad57-8a9c5607e6b8	暗夜獵豹	mid		proc	燃燒	burn	燃燒	on_hit	攻擊命中時		enemy	敵方	turns	3	10	每回合扣除目標最大HP百分比	否	敵方每回合燃燒扣除最大HP 10%，持續3回合
monster-card-321a08e9-8fed-4a80-9526-b1f977fd9103	大史(B)怪物卡	C	monster_card	321a08e9-8fed-4a80-9526-b1f977fd9103	大史(B)	normal		proc	沉默	silence	沉默	on_hit	攻擊命中時	14	enemy	敵方	turns	1	100	沉默成功率百分比	是	攻擊命中時有14%機率使敵方沉默（持續1回合，期間無法施放主動技能）。
monster-card-c39bdddd-a33d-4e34-8019-d17020a8083b	小史怪物卡	C	monster_card	c39bdddd-a33d-4e34-8019-d17020a8083b	小史	normal		proc	燃燒	burn	燃燒	on_hit	攻擊命中時	22	enemy	敵方	turns	2	10	每回合扣除目標最大HP百分比	否	攻擊命中時有22%機率使敵方燃燒；燃燒期間每回合扣除最大HP 10%（持續2回合）。
monster-card-03c93103-eddb-4265-96ca-a8a76bb82a02	小金(稀)怪物卡	C	monster_card	03c93103-eddb-4265-96ca-a8a76bb82a02	小金(稀)	normal		proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時	24	self	自身	turns	2	18	防禦力變化百分比	否	攻擊命中時有24%機率觸發，自身防禦力提升18%（持續2回合）。
monster-card-a8ef443e-3a0d-4ccb-9290-d6394edaa59f	小狼怪物卡	C	monster_card	a8ef443e-3a0d-4ccb-9290-d6394edaa59f	小狼	normal		proc	流血	bleed	流血	on_hit	攻擊命中時	24	enemy	敵方	turns	3	10	每回合扣除目標最大HP百分比	否	攻擊命中時有24%機率使敵方流血；流血期間每回合扣除最大HP 10%（持續3回合）。
monster-card-2d226eea-934a-4787-8ff7-9f19d12ac590	石頭怪物卡	C	monster_card	2d226eea-934a-4787-8ff7-9f19d12ac590	石頭	normal		proc	暴擊率提升	crit_rate_up	暴擊率提升	on_hit	攻擊命中時	20	self	自身	turns	2	14	暴擊率變化百分比	否	攻擊命中時有20%機率觸發，自身暴擊率提升14%（持續2回合）。
monster-card-6f321e26-e74e-4a05-a55a-6145da53373d	青草地精怪物卡	C	monster_card	6f321e26-e74e-4a05-a55a-6145da53373d	青草地精	normal		proc	流血	bleed	流血	on_hit	攻擊命中時	24	enemy	敵方	turns	3	10	每回合扣除目標最大HP百分比	否	攻擊命中時有24%機率使敵方流血；流血期間每回合扣除最大HP 10%（持續3回合）。
monster-card-f00fd7b1-9f57-4532-9901-f4d4d74f132d	哥布怪物卡	C	monster_card	f00fd7b1-9f57-4532-9901-f4d4d74f132d	哥布	normal		proc	反擊	counter	反擊	on_hit	攻擊命中時	18	self	自身	turns	1	30	反擊傷害百分比	否	受到攻擊後有18%機率觸發反擊，對自身造成本次反擊係數30%的傷害（持續1回合內有效）。
monster-card-a1ab762c-cd0b-4270-994b-74b68c242840	綠野狼怪物卡	C	monster_card	a1ab762c-cd0b-4270-994b-74b68c242840	綠野狼	normal		proc	流血	bleed	流血	on_hit	攻擊命中時	24	enemy	敵方	turns	3	10	每回合扣除目標最大HP百分比	否	攻擊命中時有24%機率使敵方流血；流血期間每回合扣除最大HP 10%（持續3回合）。
