怪物ID	怪物名稱	區域	地圖階級	草案特效鍵	草案特效中文	觸發代碼	觸發中文	觸發機率百分比	目標代碼	目標中文	持續模式	持續值	數值	是否控制	中文說明草案
5247b1b0-6bc0-4db3-8ffd-aacb755c64fb	森林盜賊	mid	B	counter	反擊	on_hit	攻擊命中時	20	self	自身	turns	1	35	否	反擊：20% 觸發，目標自身，持續1回合，數值35。
f4bed595-74f8-493b-8551-9158f4b5381d	黑暗弓手	mid	B	silence	沉默	on_hit	攻擊命中時	16	enemy	敵方	turns	2	1	是	沉默：16% 觸發，目標敵方，持續2回合，數值1。
eb0322bc-a90a-4a89-ad57-8a9c5607e6b8	暗夜獵豹	mid	B	burn	燃燒	on_hit	攻擊命中時	22	enemy	敵方	turns	3	15	否	燃燒：22% 觸發，目標敵方，持續3回合，數值15。
f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手	hard	A	poison	中毒	on_hit	攻擊命中時	28	enemy	敵方	turns	3	20	否	中毒：28% 觸發，目標敵方，持續3回合，數值20。
32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士	hard	A	bleed	流血	on_hit	攻擊命中時	28	enemy	敵方	turns	3	20	否	流血：28% 觸發，目標敵方，持續3回合，數值20。
4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客	hard	A	stun	暈眩	on_hit	攻擊命中時	20	enemy	敵方	turns	2	1	是	暈眩：20% 觸發，目標敵方，持續2回合，數值1。
2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師	hard	A	freeze	冰凍	on_hit	攻擊命中時	22	enemy	敵方	turns	2	-50	是	冰凍：22% 觸發，目標敵方，持續2回合，數值-50。
69459022-2457-48e3-9804-d6f9be346a25	古城將軍(B)	hard	A	charm	魅惑	on_hit	攻擊命中時	18	enemy	敵方	turns	2	1	是	魅惑：18% 觸發，目標敵方，持續2回合，數值1。
814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼	hard	A	lightning	雷擊	on_hit	攻擊命中時	24	enemy	敵方	turns	2	28	否	雷擊：24% 觸發，目標敵方，持續2回合，數值28。
53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士	hard	A	dark_curse	黑暗詛咒	on_hit	攻擊命中時	24	enemy	敵方	turns	3	-25	否	黑暗詛咒：24% 觸發，目標敵方，持續3回合，數值-25。
5c20d4ba-5f38-4d6b-a724-369eb632ff1d	城堡魔像(B)	hard	A	life_steal_strong	強效生命偷取	on_hit	攻擊命中時	22	self	自身	turns	1	30	否	強效生命偷取：22% 觸發，目標自身，持續1回合，數值30。
5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵	hard	A	ancient_power	遠古之力	on_hit	攻擊命中時	20	self	自身	turns	2	35	否	遠古之力：20% 觸發，目標自身，持續2回合，數值35。
139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛	hard	A	counter	反擊	on_hit	攻擊命中時	24	self	自身	turns	1	45	否	反擊：24% 觸發，目標自身，持續1回合，數值45。
9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司	hard	A	silence	沉默	on_hit	攻擊命中時	22	enemy	敵方	turns	2	1	是	沉默：22% 觸發，目標敵方，持續2回合，數值1。
35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師	hard	A	burn	燃燒	on_hit	攻擊命中時	26	enemy	敵方	turns	3	22	否	燃燒：26% 觸發，目標敵方，持續3回合，數值22。
0496ea5d-786e-4b07-ba65-30949c1afe31	廢都魔王(B)	hard	A	atk_down	降攻	on_hit	攻擊命中時	24	enemy	敵方	turns	3	-30	否	降攻：24% 觸發，目標敵方，持續3回合，數值-30。
388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵	hard	A	crit_rate_up	暴擊率提升	on_hit	攻擊命中時	22	self	自身	turns	2	25	否	暴擊率提升：22% 觸發，目標自身，持續2回合，數值25。
8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將	hard	A	def_up	防禦提升	on_hit	攻擊命中時	22	self	自身	turns	2	30	否	防禦提升：22% 觸發，目標自身，持續2回合，數值30。
