怪物ID	怪物名稱	區域	序號	怪物等級	卡片ID	卡片名稱	卡片階級	怪物圖片	卡片圖片
343c18ce-9f87-4532-bbb4-618a64fe5559	林地妖靈(樹樹)	mid	106	9	monster-card-343c18ce-9f87-4532-bbb4-618a64fe5559	林地妖靈(樹樹)怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776324140/equipment-game/monsters/zczvvpciu9ywkt7tkjjv.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776324140/equipment-game/monsters/zczvvpciu9ywkt7tkjjv.jpg
9f0c5372-7232-4c6f-8083-409a28b1b374	森林古樹	mid	107	10	monster-card-9f0c5372-7232-4c6f-8083-409a28b1b374	森林古樹怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776411943/equipment-game/monsters/fydiusdkuncnm0v3zr14.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776411943/equipment-game/monsters/fydiusdkuncnm0v3zr14.jpg
eb0322bc-a90a-4a89-ad57-8a9c5607e6b8	暗夜獵豹	mid	108	9	monster-card-eb0322bc-a90a-4a89-ad57-8a9c5607e6b8	暗夜獵豹怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776412031/equipment-game/monsters/pxoegcjra09r1lqtqiqn.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776412031/equipment-game/monsters/pxoegcjra09r1lqtqiqn.png
f6145411-1a2e-4919-9ee4-fe27b3a31c07	森林巫師	mid	109	11	monster-card-f6145411-1a2e-4919-9ee4-fe27b3a31c07	森林巫師怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776412105/equipment-game/monsters/vcgwfphrcobhpgrhabez.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776412105/equipment-game/monsters/vcgwfphrcobhpgrhabez.png
5247b1b0-6bc0-4db3-8ffd-aacb755c64fb	森林盜賊	mid	110	10	monster-card-5247b1b0-6bc0-4db3-8ffd-aacb755c64fb	森林盜賊怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776412165/equipment-game/monsters/jfeqj73teszsaxamadx2.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776412165/equipment-game/monsters/jfeqj73teszsaxamadx2.jpg
21fb614f-7f8b-4aad-b248-9418d8cbd8c0	森林之獸	mid	111	13	monster-card-21fb614f-7f8b-4aad-b248-9418d8cbd8c0	森林之獸怪物卡	B		
c39bdddd-a33d-4e34-8019-d17020a8083b	小史	normal	1	3	monster-card-c39bdddd-a33d-4e34-8019-d17020a8083b	小史怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897916/equipment-game/monsters/mgpoztcqdk3fcfrw0teo.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897916/equipment-game/monsters/mgpoztcqdk3fcfrw0teo.png
f00fd7b1-9f57-4532-9901-f4d4d74f132d	哥布	normal	2	3	monster-card-f00fd7b1-9f57-4532-9901-f4d4d74f132d	哥布怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897917/equipment-game/monsters/jfzoil2fhozz8h8vstoo.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897917/equipment-game/monsters/jfzoil2fhozz8h8vstoo.jpg
a8ef443e-3a0d-4ccb-9290-d6394edaa59f	小狼	normal	3	6	monster-card-a8ef443e-3a0d-4ccb-9290-d6394edaa59f	小狼怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897919/equipment-game/monsters/psyuv1xzgrjzelxtet4a.webp	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897919/equipment-game/monsters/psyuv1xzgrjzelxtet4a.webp
2d226eea-934a-4787-8ff7-9f19d12ac590	石頭	normal	4	4	monster-card-2d226eea-934a-4787-8ff7-9f19d12ac590	石頭怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897921/equipment-game/monsters/kvhacdlieutonzzwhybi.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897921/equipment-game/monsters/kvhacdlieutonzzwhybi.jpg
321a08e9-8fed-4a80-9526-b1f977fd9103	大史(B)	normal	5	7	monster-card-321a08e9-8fed-4a80-9526-b1f977fd9103	大史(B)怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897923/equipment-game/monsters/ciehckcf9jsbeu9vdvo6.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897923/equipment-game/monsters/ciehckcf9jsbeu9vdvo6.png
03c93103-eddb-4265-96ca-a8a76bb82a02	小金(稀)	normal	6	5	monster-card-03c93103-eddb-4265-96ca-a8a76bb82a02	小金(稀)怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897932/equipment-game/monsters/xtgchkggdt4xyirmvuxk.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897932/equipment-game/monsters/xtgchkggdt4xyirmvuxk.png
6f321e26-e74e-4a05-a55a-6145da53373d	青草地精	normal	100	5	monster-card-6f321e26-e74e-4a05-a55a-6145da53373d	青草地精怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776323875/equipment-game/monsters/hmjveh2u4bxzyep6m9cb.webp	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776323875/equipment-game/monsters/hmjveh2u4bxzyep6m9cb.webp
a1ab762c-cd0b-4270-994b-74b68c242840	綠野狼	normal	101	7	monster-card-a1ab762c-cd0b-4270-994b-74b68c242840	綠野狼怪物卡	C	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776323916/equipment-game/monsters/hz4ifcf62zg1pxan2r45.webp	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1776323916/equipment-game/monsters/hz4ifcf62zg1pxan2r45.webp
