NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
69	DIALOGUE(對話)	白鷺	我沒走到那一步。所以我不知道。	oni		白鷺				
70	MONOLOGUE(獨白)	玩家	她站起身，把膝上的劍連鞘丟到你腳邊。	oni						
71	DIALOGUE(對話)	白鷺	你來走。走到了再回來告訴我。	oni		白鷺				
72	MONOLOGUE(獨白)	玩家	她握住腰間另一把——那把你進門時沒注意到的。	oni						
73	DIALOGUE(對話)	白鷺	站起來。讓我看看你現在的樣子。	oni		白鷺				
74	BATTLE(戰鬥)	白鷺	⚔️ 戰鬥：白鷺　她沒有拔劍。她只是走過來——然後你發現自己已經在擋了。	oni						必勝(mustWin)
75	MONOLOGUE(獨白)	玩家	她退了半步，把劍放下。	oni						
76	DIALOGUE(對話)	白鷺	……可以了。	oni		白鷺				
77	DIALOGUE(對話)	你	我贏了？	oni						
78	DIALOGUE(對話)	白鷺	你沒有停手。這在你選的那條路上比較重要。	oni		白鷺				
79	MONOLOGUE(獨白)	玩家	胸前的徽章突然燙起來，燙到你必須把它摘下來。	oni						
80	MONOLOGUE(獨白)	玩家	它在你掌心裡開始改變形狀。不是碎裂，也不是重鑄——比較像是它終於想起了自己原本該是什麼樣子。	oni						
81	DIALOGUE(對話)	你	這是——	oni						
82	DIALOGUE(對話)	白鷺	它自己變的。跟我沒有關係。	oni		白鷺				
83	TRANSFER(轉職)		✨ 徽章進化：掌心裡的東西安靜下來。它變重了，而且比剛才冷。	oni						換發：job_swordoni_t2_v1　消耗一轉徽章＋變更登記費
84	DIALOGUE(對話)	白鷺	拿好。它現在還不認得你。	oni		白鷺				
85	MONOLOGUE(獨白)	玩家	空地上只剩下那一圈一圈的痕跡。門不見了，牆就是牆。							
86	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
