CHAPTER	NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1.劍士 → 聖劍士／劍鬼	41	CHOICE(選項)		（你發現自己沒辦法隨便回答。）							選項：為了護住身後的人 → holy ／ 選項：為了斬盡擋路的一切 → oni
1.劍士 → 聖劍士／劍鬼	42	DIALOGUE(對話)	你	為了護住身後的人。	holy						
1.劍士 → 聖劍士／劍鬼	43	MONOLOGUE(獨白)	玩家	白鷺沒有點頭，也沒有搖頭。她只是把膝上的劍立了起來。	holy						
1.劍士 → 聖劍士／劍鬼	44	DIALOGUE(對話)	白鷺	那你要有心理準備。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	45	DIALOGUE(對話)	白鷺	護人的劍不能只贏。它得撐住——撐到最後一個人走出去為止。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	46	DIALOGUE(對話)	白鷺	贏一次很容易。撐住很難。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	47	MONOLOGUE(獨白)	玩家	她站起身。空地上那些轉身的痕跡，正好對上她的腳。	holy						
1.劍士 → 聖劍士／劍鬼	48	DIALOGUE(對話)	白鷺	我當年沒撐住。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	49	DIALOGUE(對話)	你	……那個人怎麼了？	holy						
1.劍士 → 聖劍士／劍鬼	50	DIALOGUE(對話)	白鷺	不知道。我只知道我沒撐住。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	51	MONOLOGUE(獨白)	玩家	她握住劍柄。三根手指，握法你從來沒見過。	holy						
1.劍士 → 聖劍士／劍鬼	52	DIALOGUE(對話)	白鷺	站起來。讓我看看你現在的樣子。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	53	BATTLE(戰鬥)	白鷺	⚔️ 戰鬥：白鷺　她沒有拔劍。她只是走過來——然後你發現自己已經在擋了。	holy						必勝(mustWin)
1.劍士 → 聖劍士／劍鬼	54	MONOLOGUE(獨白)	玩家	她退了半步，把劍放下。	holy						
1.劍士 → 聖劍士／劍鬼	55	DIALOGUE(對話)	白鷺	……可以了。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	56	DIALOGUE(對話)	你	我贏了？	holy						
1.劍士 → 聖劍士／劍鬼	57	DIALOGUE(對話)	白鷺	你沒有倒。這比贏重要。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	58	MONOLOGUE(獨白)	玩家	胸前的徽章突然燙起來，燙到你必須把它摘下來。	holy						
1.劍士 → 聖劍士／劍鬼	59	MONOLOGUE(獨白)	玩家	它在你掌心裡開始改變形狀。不是碎裂，也不是重鑄——比較像是它終於想起了自己原本該是什麼樣子。	holy						
1.劍士 → 聖劍士／劍鬼	60	DIALOGUE(對話)	你	這是——	holy						
1.劍士 → 聖劍士／劍鬼	61	DIALOGUE(對話)	白鷺	它自己變的。跟我沒有關係。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	62	TRANSFER(轉職)		✨ 徽章進化：掌心裡的東西安靜下來。它變重了，而且比剛才冷。	holy						換發：job_holyblade_t2_v1　消耗一轉徽章＋變更登記費
1.劍士 → 聖劍士／劍鬼	63	DIALOGUE(對話)	白鷺	拿好。它現在還不認得你。	holy		白鷺				
1.劍士 → 聖劍士／劍鬼	64	DIALOGUE(對話)	你	為了斬盡擋路的一切。	oni						
1.劍士 → 聖劍士／劍鬼	65	MONOLOGUE(獨白)	玩家	白鷺笑了。那是進門以來她第一次笑，而且很短。	oni						
1.劍士 → 聖劍士／劍鬼	66	DIALOGUE(對話)	白鷺	好。至少你沒有騙我。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	67	DIALOGUE(對話)	白鷺	斬盡一切的劍走得快。快到某一天你會發現，擋路的東西裡面也包括你自己。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	68	DIALOGUE(對話)	你	那你會怎麼做？	oni						
1.劍士 → 聖劍士／劍鬼	69	DIALOGUE(對話)	白鷺	我沒走到那一步。所以我不知道。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	70	MONOLOGUE(獨白)	玩家	她站起身，把膝上的劍連鞘丟到你腳邊。	oni						
1.劍士 → 聖劍士／劍鬼	71	DIALOGUE(對話)	白鷺	你來走。走到了再回來告訴我。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	72	MONOLOGUE(獨白)	玩家	她握住腰間另一把——那把你進門時沒注意到的。	oni						
1.劍士 → 聖劍士／劍鬼	73	DIALOGUE(對話)	白鷺	站起來。讓我看看你現在的樣子。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	74	BATTLE(戰鬥)	白鷺	⚔️ 戰鬥：白鷺　她沒有拔劍。她只是走過來——然後你發現自己已經在擋了。	oni						必勝(mustWin)
1.劍士 → 聖劍士／劍鬼	75	MONOLOGUE(獨白)	玩家	她退了半步，把劍放下。	oni						
1.劍士 → 聖劍士／劍鬼	76	DIALOGUE(對話)	白鷺	……可以了。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	77	DIALOGUE(對話)	你	我贏了？	oni						
1.劍士 → 聖劍士／劍鬼	78	DIALOGUE(對話)	白鷺	你沒有停手。這在你選的那條路上比較重要。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	79	MONOLOGUE(獨白)	玩家	胸前的徽章突然燙起來，燙到你必須把它摘下來。	oni						
1.劍士 → 聖劍士／劍鬼	80	MONOLOGUE(獨白)	玩家	它在你掌心裡開始改變形狀。不是碎裂，也不是重鑄——比較像是它終於想起了自己原本該是什麼樣子。	oni						
1.劍士 → 聖劍士／劍鬼	81	DIALOGUE(對話)	你	這是——	oni						
1.劍士 → 聖劍士／劍鬼	82	DIALOGUE(對話)	白鷺	它自己變的。跟我沒有關係。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	83	TRANSFER(轉職)		✨ 徽章進化：掌心裡的東西安靜下來。它變重了，而且比剛才冷。	oni						換發：job_swordoni_t2_v1　消耗一轉徽章＋變更登記費
1.劍士 → 聖劍士／劍鬼	84	DIALOGUE(對話)	白鷺	拿好。它現在還不認得你。	oni		白鷺				
1.劍士 → 聖劍士／劍鬼	85	MONOLOGUE(獨白)	玩家	空地上只剩下那一圈一圈的痕跡。門不見了，牆就是牆。							
1.劍士 → 聖劍士／劍鬼	86	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
2.戰士 → 狂戰士	1	MONOLOGUE(獨白)	玩家	徽章開始在你打完架之後發燙。一開始只有幾秒，後來變成一整晚。							
2.戰士 → 狂戰士	2	MONOLOGUE(獨白)	玩家	那天你收工回鎮上，聽見城牆邊有規律的敲打聲。							
2.戰士 → 狂戰士	3	MONOLOGUE(獨白)	玩家	那面牆你天天經過。你很確定牆邊沒有鐵匠鋪。							
2.戰士 → 狂戰士	4	MONOLOGUE(獨白)	玩家	但今天有。而且爐火看起來已經燒了很多年。							
2.戰士 → 狂戰士	5	MONOLOGUE(獨白)	玩家	一個左臂是義肢的男人背對著你，正在敲一塊燒紅的鐵。							
2.戰士 → 狂戰士	6	DIALOGUE(對話)	鐵砧	進來啊。站在外面幹嘛。			鐵砧				
2.戰士 → 狂戰士	7	DIALOGUE(對話)	你	……這裡以前沒有鋪子。							
2.戰士 → 狂戰士	8	DIALOGUE(對話)	鐵砧	有啊。你沒看見而已。			鐵砧				
2.戰士 → 狂戰士	9	MONOLOGUE(獨白)	玩家	他把鐵放回爐裡，轉過身，順手在你肩上拍了一下。							
2.戰士 → 狂戰士	10	MONOLOGUE(獨白)	玩家	很痛。							
2.戰士 → 狂戰士	11	DIALOGUE(對話)	你	……							
2.戰士 → 狂戰士	12	DIALOGUE(對話)	鐵砧	會痛就對了。不痛你記不住。			鐵砧				
2.戰士 → 狂戰士	13	DIALOGUE(對話)	你	你是誰？							
2.戰士 → 狂戰士	14	DIALOGUE(對話)	鐵砧	鐵砧。			鐵砧				
2.戰士 → 狂戰士	15	DIALOGUE(對話)	你	那是名字還是——							
2.戰士 → 狂戰士	16	DIALOGUE(對話)	鐵砧	是我在做的事。名字不重要。			鐵砧				
2.戰士 → 狂戰士	17	MONOLOGUE(獨白)	玩家	他抬起義肢，在爐邊敲了敲。金屬碰金屬的聲音。							
2.戰士 → 狂戰士	18	DIALOGUE(對話)	你	那隻手怎麼了？							
2.戰士 → 狂戰士	19	DIALOGUE(對話)	鐵砧	換掉了。			鐵砧				
2.戰士 → 狂戰士	20	DIALOGUE(對話)	你	為什麼不換一隻看起來像真的？							
2.戰士 → 狂戰士	21	MONOLOGUE(獨白)	玩家	他停了兩秒。							
2.戰士 → 狂戰士	22	DIALOGUE(對話)	鐵砧	因為我想每次抬手都記得。			鐵砧				
2.戰士 → 狂戰士	23	DIALOGUE(對話)	你	記得什麼？							
2.戰士 → 狂戰士	24	DIALOGUE(對話)	鐵砧	忘了。			鐵砧				
2.戰士 → 狂戰士	25	MONOLOGUE(獨白)	玩家	他說這句的時候在笑，但笑得不像在開玩笑。							
2.戰士 → 狂戰士	26	DIALOGUE(對話)	鐵砧	你揮斧的樣子我看過。			鐵砧				
2.戰士 → 狂戰士	27	DIALOGUE(對話)	你	你看過？							
2.戰士 → 狂戰士	28	DIALOGUE(對話)	鐵砧	這裡看得到很多東西。			鐵砧				
2.戰士 → 狂戰士	29	DIALOGUE(對話)	鐵砧	你很會打。但你只在贏的時候會打。			鐵砧				
2.戰士 → 狂戰士	30	DIALOGUE(對話)	你	……什麼意思。							
2.戰士 → 狂戰士	31	DIALOGUE(對話)	鐵砧	意思是你還沒有真的被逼到過。			鐵砧				
2.戰士 → 狂戰士	32	DIALOGUE(對話)	鐵砧	沒被逼到過的人，力氣是有上限的。			鐵砧				
2.戰士 → 狂戰士	33	BATTLE(戰鬥)	鐵砧	⚔️ 戰鬥：鐵砧　他把義肢往砧上一按，整間鋪子安靜下來。「來，逼我一次看看。」							必勝(mustWin)
2.戰士 → 狂戰士	34	MONOLOGUE(獨白)	玩家	他退開半步，把手上的鐵鎚扔回爐邊。							
2.戰士 → 狂戰士	35	DIALOGUE(對話)	鐵砧	……哦。			鐵砧				
2.戰士 → 狂戰士	36	DIALOGUE(對話)	鐵砧	你剛剛那下，不是打給我看的。			鐵砧				
2.戰士 → 狂戰士	37	DIALOGUE(對話)	你	什麼？							
2.戰士 → 狂戰士	38	DIALOGUE(對話)	鐵砧	你自己也沒發現。那才對。			鐵砧				
2.戰士 → 狂戰士	39	MONOLOGUE(獨白)	玩家	胸前的徽章燙得你不得不摘下來。							
2.戰士 → 狂戰士	40	MONOLOGUE(獨白)	玩家	它在你掌心裡改變形狀——邊緣變得更粗糙，像被誰用力握過太多次。							
2.戰士 → 狂戰士	41	TRANSFER(轉職)		✨ 徽章進化：它安靜下來的時候，還是熱的。							換發：job_berserker_t2_v1　消耗一轉徽章＋變更登記費
2.戰士 → 狂戰士	42	DIALOGUE(對話)	鐵砧	拿好。這東西比你想的難帶。			鐵砧				
2.戰士 → 狂戰士	43	MONOLOGUE(獨白)	玩家	城牆邊只剩下一片焦黑的地面。爐火沒有留下任何餘溫。							
2.戰士 → 狂戰士	44	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
3.矮人戰士 → 矮人戰士長	1	MONOLOGUE(獨白)	玩家	那天你進礦坑補給，發現走廊底多了一道以前沒有的側門。							
3.矮人戰士 → 矮人戰士長	2	MONOLOGUE(獨白)	玩家	門沒有鎖。裡面是一間工具間，所有東西都掛在該掛的位置上，整齊得有點嚇人。							
3.矮人戰士 → 矮人戰士長	3	MONOLOGUE(獨白)	玩家	一個矮個子背對著你，正在把一排鎚子按長度重新排一次。							
3.矮人戰士 → 矮人戰士長	4	DIALOGUE(對話)	石鬍子	門帶上。			石鬍子				
3.矮人戰士 → 矮人戰士長	5	DIALOGUE(對話)	你	抱歉——							
3.矮人戰士 → 矮人戰士長	6	DIALOGUE(對話)	石鬍子	不是要你走。是要你把門帶上。			石鬍子				
3.矮人戰士 → 矮人戰士長	7	MONOLOGUE(獨白)	玩家	你把門帶上。他繼續排他的鎚子。							
3.矮人戰士 → 矮人戰士長	8	DIALOGUE(對話)	你	你是誰？							
3.矮人戰士 → 矮人戰士長	9	DIALOGUE(對話)	石鬍子	管這裡的。			石鬍子				
3.矮人戰士 → 矮人戰士長	10	DIALOGUE(對話)	你	這裡以前沒有這間房間。							
3.矮人戰士 → 矮人戰士長	11	DIALOGUE(對話)	石鬍子	有。你們每次都從門口走過去。			石鬍子				
3.矮人戰士 → 矮人戰士長	12	MONOLOGUE(獨白)	玩家	他終於轉過身。鬍子編成三股，末端各綁著一小圈鐵絲。							
3.矮人戰士 → 矮人戰士長	13	DIALOGUE(對話)	石鬍子	你的鎚子借我看一下。			石鬍子				
3.矮人戰士 → 矮人戰士長	14	MONOLOGUE(獨白)	玩家	你遞過去。他掂了掂，皺眉。							
3.矮人戰士 → 矮人戰士長	15	DIALOGUE(對話)	石鬍子	柄鬆了。你自己沒感覺？			石鬍子				
3.矮人戰士 → 矮人戰士長	16	DIALOGUE(對話)	你	……有一點。							
3.矮人戰士 → 矮人戰士長	17	DIALOGUE(對話)	石鬍子	有一點就是有。			石鬍子				
3.矮人戰士 → 矮人戰士長	18	DIALOGUE(對話)	石鬍子	東西會壞不是問題。你知道它在壞、還照樣揮，那才是問題。			石鬍子				
3.矮人戰士 → 矮人戰士長	19	MONOLOGUE(獨白)	玩家	他從牆上取下工具，三兩下把柄重新楔緊，遞回來。							
3.矮人戰士 → 矮人戰士長	20	DIALOGUE(對話)	石鬍子	現在你欠我一次。			石鬍子				
3.矮人戰士 → 矮人戰士長	21	DIALOGUE(對話)	你	為什麼要幫我修？							
3.矮人戰士 → 矮人戰士長	22	DIALOGUE(對話)	石鬍子	因為我看不下去。			石鬍子				
3.矮人戰士 → 矮人戰士長	23	DIALOGUE(對話)	你	就這樣？							
3.矮人戰士 → 矮人戰士長	24	DIALOGUE(對話)	石鬍子	不然還要什麼理由。			石鬍子				
3.矮人戰士 → 矮人戰士長	25	MONOLOGUE(獨白)	玩家	他坐回矮凳上，開始擦手。							
3.矮人戰士 → 矮人戰士長	26	DIALOGUE(對話)	石鬍子	以前有人問過我同樣的問題。			石鬍子				
3.矮人戰士 → 矮人戰士長	27	DIALOGUE(對話)	你	誰？							
3.矮人戰士 → 矮人戰士長	28	DIALOGUE(對話)	石鬍子	……忘記了。			石鬍子				
3.矮人戰士 → 矮人戰士長	29	MONOLOGUE(獨白)	玩家	他擦手的動作停了一下，然後繼續擦。							
3.矮人戰士 → 矮人戰士長	30	BATTLE(戰鬥)	石鬍子	⚔️ 戰鬥：石鬍子　他從牆上取下最後一把鎚子——那把明顯比其他的舊很多。「試試看你修好的東西。」							必勝(mustWin)
3.矮人戰士 → 矮人戰士長	31	MONOLOGUE(獨白)	玩家	他把鎚子掛回原位，位置分毫不差。							
3.矮人戰士 → 矮人戰士長	32	DIALOGUE(對話)	石鬍子	可以了。			石鬍子				
3.矮人戰士 → 矮人戰士長	33	DIALOGUE(對話)	你	這樣就可以了？							
3.矮人戰士 → 矮人戰士長	34	DIALOGUE(對話)	石鬍子	你打完會把東西放回去。這種人不多。			石鬍子				
3.矮人戰士 → 矮人戰士長	35	MONOLOGUE(獨白)	玩家	胸前的徽章開始發燙。							
3.矮人戰士 → 矮人戰士長	36	MONOLOGUE(獨白)	玩家	它在你掌心裡變形——變得更沉，握起來的重心往前移了一點點。							
3.矮人戰士 → 矮人戰士長	37	TRANSFER(轉職)		✨ 徽章進化：它安定下來的時候，重心剛好落在你握慣的位置。							換發：job_dwarflord_t2_v1　消耗一轉徽章＋變更登記費
3.矮人戰士 → 矮人戰士長	38	DIALOGUE(對話)	石鬍子	走的時候門帶上。			石鬍子				
3.矮人戰士 → 矮人戰士長	39	MONOLOGUE(獨白)	玩家	你回頭，走廊底就是牆。牆上連門框的痕跡都沒有。							
3.矮人戰士 → 矮人戰士長	40	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
4.盜賊 → 影舞者／盜靈	1	MONOLOGUE(獨白)	玩家	你開始覺得有人在跟著你。							
4.盜賊 → 影舞者／盜靈	2	MONOLOGUE(獨白)	玩家	不是感覺——是證據。你留在客棧的行李被翻過，但什麼都沒少，連順序都放回去了。							
4.盜賊 → 影舞者／盜靈	3	MONOLOGUE(獨白)	玩家	第三天，你在巷子裡故意繞了一圈想甩掉對方。							
4.盜賊 → 影舞者／盜靈	4	MONOLOGUE(獨白)	玩家	繞完之後，你回到原點，發現自己的徽章不在胸前。							
4.盜賊 → 影舞者／盜靈	5	MONOLOGUE(獨白)	玩家	它在巷子另一頭的牆上，被一根短刃釘著。							
4.盜賊 → 影舞者／盜靈	6	DIALOGUE(對話)	影七	你剛剛回頭三次。			影七				
4.盜賊 → 影舞者／盜靈	7	MONOLOGUE(獨白)	玩家	聲音從你背後傳來。你沒有聽到任何腳步聲。							
4.盜賊 → 影舞者／盜靈	8	DIALOGUE(對話)	你	——！							
4.盜賊 → 影舞者／盜靈	9	DIALOGUE(對話)	影七	太多了。			影七				
4.盜賊 → 影舞者／盜靈	10	DIALOGUE(對話)	影七	回頭一次是確認。第二次是不安。第三次的時候，你已經在告訴別人你怕什麼了。			影七				
4.盜賊 → 影舞者／盜靈	11	DIALOGUE(對話)	你	你是誰。							
4.盜賊 → 影舞者／盜靈	12	DIALOGUE(對話)	影七	影七。			影七				
4.盜賊 → 影舞者／盜靈	13	DIALOGUE(對話)	你	把徽章還我。							
4.盜賊 → 影舞者／盜靈	14	DIALOGUE(對話)	影七	我沒有拿走它。我只是把它放在你看得到的地方。			影七				
4.盜賊 → 影舞者／盜靈	15	MONOLOGUE(獨白)	玩家	他從牆上把短刃抽下來，徽章掉進你手裡。還是溫的。							
4.盜賊 → 影舞者／盜靈	16	DIALOGUE(對話)	你	你跟了我多久？							
4.盜賊 → 影舞者／盜靈	17	DIALOGUE(對話)	影七	從你開始發燙的那天。			影七				
4.盜賊 → 影舞者／盜靈	18	DIALOGUE(對話)	你	為什麼？							
4.盜賊 → 影舞者／盜靈	19	DIALOGUE(對話)	影七	因為那天它叫我來。			影七				
4.盜賊 → 影舞者／盜靈	20	DIALOGUE(對話)	你	徽章？							
4.盜賊 → 影舞者／盜靈	21	DIALOGUE(對話)	影七	……不知道。可能是。			影七				
4.盜賊 → 影舞者／盜靈	22	MONOLOGUE(獨白)	玩家	他說「不知道」的時候，第一次沒有立刻接下一句。							
4.盜賊 → 影舞者／盜靈	23	DIALOGUE(對話)	影七	你偷過東西嗎？			影七				
4.盜賊 → 影舞者／盜靈	24	DIALOGUE(對話)	你	……那要看你怎麼定義。							
4.盜賊 → 影舞者／盜靈	25	DIALOGUE(對話)	影七	好。那你算是懂了一半。			影七				
4.盜賊 → 影舞者／盜靈	26	DIALOGUE(對話)	影七	另一半是——你打算偷什麼。			影七				
4.盜賊 → 影舞者／盜靈	27	DIALOGUE(對話)	影七	有人偷東西。有人偷時間。有人偷的是別人身上他自己沒有的那個部分。			影七				
4.盜賊 → 影舞者／盜靈	28	DIALOGUE(對話)	影七	你要走哪一種，現在講。			影七				
4.盜賊 → 影舞者／盜靈	29	CHOICE(選項)		（你握著還溫著的徽章。）							選項：我要快到沒有人看得見我 → dancer ／ 選項：我要拿走他們身上我沒有的東西 → thief
4.盜賊 → 影舞者／盜靈	30	DIALOGUE(對話)	你	我要快到沒有人看得見我。	dancer						
4.盜賊 → 影舞者／盜靈	31	DIALOGUE(對話)	影七	那你要先學會不看自己。	dancer		影七				
4.盜賊 → 影舞者／盜靈	32	DIALOGUE(對話)	你	什麼意思？	dancer						
4.盜賊 → 影舞者／盜靈	33	DIALOGUE(對話)	影七	快的人不會確認自己有多快。一確認就慢了。	dancer		影七				
4.盜賊 → 影舞者／盜靈	34	MONOLOGUE(獨白)	玩家	他退進陰影裡。你看得見他站在那裡，但眼睛就是抓不住他的輪廓。	dancer						
4.盜賊 → 影舞者／盜靈	35	DIALOGUE(對話)	影七	來。抓我一次。	dancer		影七				
4.盜賊 → 影舞者／盜靈	36	BATTLE(戰鬥)	影七	⚔️ 戰鬥：影七　你朝那個位置出手——那裡已經沒有人了。	dancer						必勝(mustWin)
4.盜賊 → 影舞者／盜靈	37	MONOLOGUE(獨白)	玩家	你停下來，喘著。他從你左邊走出來，沒有一點聲音。	dancer						
4.盜賊 → 影舞者／盜靈	38	DIALOGUE(對話)	影七	三十七次。	dancer		影七				
4.盜賊 → 影舞者／盜靈	39	DIALOGUE(對話)	你	什麼？	dancer						
4.盜賊 → 影舞者／盜靈	40	DIALOGUE(對話)	影七	你這場出手三十七次，只有最後一次沒有先看我在哪。	dancer		影七				
4.盜賊 → 影舞者／盜靈	41	DIALOGUE(對話)	影七	那一次打中了。	dancer		影七				
4.盜賊 → 影舞者／盜靈	42	MONOLOGUE(獨白)	玩家	手裡的徽章燙起來，開始變形。	dancer						
4.盜賊 → 影舞者／盜靈	43	MONOLOGUE(獨白)	玩家	它變薄了，邊緣削出你不熟悉的弧度。	dancer						
4.盜賊 → 影舞者／盜靈	44	TRANSFER(轉職)		✨ 徽章進化：它靜下來的時候，輕得像沒有東西在你手上。	dancer						換發：job_shadowdancer_t2_v1　消耗一轉徽章＋變更登記費
4.盜賊 → 影舞者／盜靈	45	DIALOGUE(對話)	影七	拿好。它會比你先動，你要習慣。	dancer		影七				
4.盜賊 → 影舞者／盜靈	46	DIALOGUE(對話)	你	我要拿走他們身上我沒有的東西。	thief						
4.盜賊 → 影舞者／盜靈	47	MONOLOGUE(獨白)	玩家	影七沉默了比剛才更久。	thief						
4.盜賊 → 影舞者／盜靈	48	DIALOGUE(對話)	影七	……你知道那不是偷東西吧。	thief		影七				
4.盜賊 → 影舞者／盜靈	49	DIALOGUE(對話)	你	我知道。	thief						
4.盜賊 → 影舞者／盜靈	50	DIALOGUE(對話)	影七	那東西拿了不會還。	thief		影七				
4.盜賊 → 影舞者／盜靈	51	DIALOGUE(對話)	你	我知道。	thief						
4.盜賊 → 影舞者／盜靈	52	DIALOGUE(對話)	影七	好。	thief		影七				
4.盜賊 → 影舞者／盜靈	53	MONOLOGUE(獨白)	玩家	他把短刃收起來，第一次正面站到你面前。	thief						
4.盜賊 → 影舞者／盜靈	54	DIALOGUE(對話)	影七	那我不擋你。但我要先確認一件事。	thief		影七				
4.盜賊 → 影舞者／盜靈	55	DIALOGUE(對話)	影七	你拿得動嗎？	thief		影七				
4.盜賊 → 影舞者／盜靈	56	BATTLE(戰鬥)	影七	⚔️ 戰鬥：影七　他站在原地不動。「來拿。」	thief						必勝(mustWin)
4.盜賊 → 影舞者／盜靈	57	MONOLOGUE(獨白)	玩家	你收手。他低頭看了看自己的手臂，那裡有一道剛出現的痕跡。	thief						
4.盜賊 → 影舞者／盜靈	58	DIALOGUE(對話)	影七	……可以。	thief		影七				
